sag mean, total,118.69622170500001,107.34222788999999,208.24739996999998,42.93381061,26.331037375,3.2201118550000003,1.5840627849999998
sag mean, schedulable,118.69622170500001,107.34222788999999,208.24739996999998,42.93381061,26.331037375,3.2201118550000003,1.5840627849999998
sag mean, unschedulable,118.69622170500001,107.34222788999999,208.24739996999998,42.93381061,26.331037375,3.2201118550000003,1.5840627849999998
sag stdev, total,313.16724791496443,255.0208493846881,459.4590088421209,127.81156278156034,113.25745679160829,15.543101036596022,17.988264033893746
sag stdev, schedulable,313.16724791496443,255.0208493846881,459.4590088421209,127.81156278156034,113.25745679160829,15.543101036596022,17.988264033893746
sag stdev, unschedulable,313.16724791496443,255.0208493846881,459.4590088421209,127.81156278156034,113.25745679160829,15.543101036596022,17.988264033893746
sag-por mean, total,0.54686029,0.71134195,1.4750121,1.2976266699999996,2.329720225,0.349471955,0.30837506500000006
sag-por mean, schedulable,0.54686029,0.71134195,1.4750121,1.2976266699999996,2.329720225,0.349471955,0.30837506500000006
sag-por mean, unschedulable,0.54686029,0.71134195,1.4750121,1.2976266699999996,2.329720225,0.349471955,0.30837506500000006
sag-por stdev, total,2.1637214635964526,2.8430591019256366,4.317463791260469,6.360428993794771,13.88833395171143,0.6804941458921987,0.7430479195579723
sag-por stdev, schedulable,2.1637214635964526,2.8430591019256366,4.317463791260469,6.360428993794771,13.88833395171143,0.6804941458921987,0.7430479195579723
sag-por stdev, unschedulable,2.1637214635964526,2.8430591019256366,4.317463791260469,6.360428993794771,13.88833395171143,0.6804941458921987,0.7430479195579723
