Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 644, 3504, 644, 3504
0, 1, 10644, 12493, 644, 2493
0, 10, 100644, 103055, 644, 3055
0, 100, 1000644, 1003055, 644, 3055
0, 1000, 10000644, 10003055, 644, 3055
0, 10000, 100000644, 100003055, 644, 3055
0, 10001, 100010644, 100011573, 644, 1573
0, 10002, 100020644, 100023055, 644, 3055
0, 10003, 100030644, 100031573, 644, 1573
0, 10004, 100040644, 100043055, 644, 3055
0, 10005, 100050644, 100053295, 644, 3295
0, 10006, 100060644, 100061573, 644, 1573
0, 10007, 100070644, 100071573, 644, 1573
0, 10008, 100080644, 100083295, 644, 3295
0, 10009, 100090644, 100091573, 644, 1573
0, 1001, 10010644, 10011573, 644, 1573
0, 10010, 100100644, 100102902, 644, 2902
0, 10011, 100110644, 100113055, 644, 3055
0, 10012, 100120644, 100121573, 644, 1573
0, 10013, 100130644, 100131573, 644, 1573
0, 10014, 100140644, 100143055, 644, 3055
0, 10015, 100150644, 100152084, 644, 2084
0, 10016, 100160644, 100161573, 644, 1573
0, 10017, 100170644, 100173055, 644, 3055
0, 10018, 100180644, 100181573, 644, 1573
0, 10019, 100190644, 100191573, 644, 1573
0, 1002, 10020644, 10023055, 644, 3055
0, 10020, 100200644, 100203354, 644, 3354
0, 10021, 100210644, 100211736, 644, 1736
0, 10022, 100220644, 100221573, 644, 1573
0, 10023, 100230644, 100233295, 644, 3295
0, 10024, 100240644, 100241573, 644, 1573
0, 10025, 100250644, 100252084, 644, 2084
0, 10026, 100260644, 100263055, 644, 3055
0, 10027, 100270644, 100271573, 644, 1573
0, 10028, 100280644, 100281573, 644, 1573
0, 10029, 100290644, 100293055, 644, 3055
0, 1003, 10030644, 10031573, 644, 1573
0, 10030, 100300644, 100302084, 644, 2084
0, 10031, 100310644, 100311573, 644, 1573
0, 10032, 100320644, 100323504, 644, 3504
0, 10033, 100330644, 100331573, 644, 1573
0, 10034, 100340644, 100341573, 644, 1573
0, 10035, 100350644, 100353295, 644, 3295
0, 10036, 100360644, 100361573, 644, 1573
0, 10037, 100370644, 100371573, 644, 1573
0, 10038, 100380644, 100383055, 644, 3055
0, 10039, 100390644, 100391573, 644, 1573
0, 1004, 10040644, 10041573, 644, 1573
0, 10040, 100400644, 100403055, 644, 3055
0, 10041, 100410644, 100413055, 644, 3055
0, 10042, 100420644, 100421573, 644, 1573
0, 10043, 100430644, 100431573, 644, 1573
0, 10044, 100440644, 100443295, 644, 3295
0, 10045, 100450644, 100452084, 644, 2084
0, 10046, 100460644, 100461573, 644, 1573
0, 10047, 100470644, 100473055, 644, 3055
0, 10048, 100480644, 100481573, 644, 1573
0, 10049, 100490644, 100491573, 644, 1573
0, 1005, 10050644, 10053295, 644, 3295
0, 10050, 100500644, 100503295, 644, 3295
0, 10051, 100510644, 100511573, 644, 1573
0, 10052, 100520644, 100521573, 644, 1573
0, 10053, 100530644, 100533055, 644, 3055
0, 10054, 100540644, 100541573, 644, 1573
0, 10055, 100550644, 100552084, 644, 2084
0, 10056, 100560644, 100563295, 644, 3295
0, 10057, 100570644, 100571573, 644, 1573
0, 10058, 100580644, 100581573, 644, 1573
0, 10059, 100590644, 100593055, 644, 3055
0, 1006, 10060644, 10061573, 644, 1573
0, 10060, 100600644, 100603055, 644, 3055
0, 10061, 100610644, 100611573, 644, 1573
0, 10062, 100620644, 100623055, 644, 3055
0, 10063, 100630644, 100631573, 644, 1573
0, 10064, 100640644, 100641573, 644, 1573
0, 10065, 100650644, 100653295, 644, 3295
0, 10066, 100660644, 100661573, 644, 1573
0, 10067, 100670644, 100671573, 644, 1573
0, 10068, 100680644, 100683295, 644, 3295
0, 10069, 100690644, 100691573, 644, 1573
0, 1007, 10070644, 10071573, 644, 1573
0, 10070, 100700644, 100703055, 644, 3055
0, 10071, 100710644, 100713055, 644, 3055
0, 10072, 100720644, 100721573, 644, 1573
0, 10073, 100730644, 100731573, 644, 1573
0, 10074, 100740644, 100743055, 644, 3055
0, 10075, 100750644, 100752084, 644, 2084
