Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 18, 1081, 18, 1081
0, 1, 10018, 10530, 18, 530
0, 10, 100018, 100608, 18, 608
0, 11, 110018, 110530, 18, 530
0, 2, 20018, 20608, 18, 608
0, 3, 30018, 31081, 18, 1081
0, 4, 40018, 40667, 18, 667
0, 5, 50018, 50530, 18, 530
0, 6, 60018, 61081, 18, 1081
0, 7, 70018, 70530, 18, 530
0, 8, 80018, 80667, 18, 667
0, 9, 90018, 91081, 18, 1081
1, 0, 142, 1317, 142, 1317
1, 1, 10142, 10746, 142, 746
1, 10, 100142, 100766, 142, 766
1, 11, 110142, 110746, 142, 746
1, 2, 20142, 20766, 142, 766
1, 3, 30142, 31317, 142, 1317
1, 4, 40142, 40844, 142, 844
1, 5, 50142, 50746, 142, 746
1, 6, 60142, 61317, 142, 1317
1, 7, 70142, 70746, 142, 746
1, 8, 80142, 80844, 142, 844
1, 9, 90142, 91317, 142, 1317
2, 0, 132, 1974, 132, 1974
2, 1, 10132, 10785, 132, 785
2, 10, 100132, 100833, 132, 833
2, 11, 110132, 110785, 132, 785
2, 2, 20132, 20833, 132, 833
2, 3, 30132, 31974, 132, 1974
2, 4, 40132, 40879, 132, 879
2, 5, 50132, 50785, 132, 785
2, 6, 60132, 61974, 132, 1974
2, 7, 70132, 70785, 132, 785
2, 8, 80132, 80879, 132, 879
2, 9, 90132, 91974, 132, 1974
3, 0, 1302, 3994, 1302, 3994
3, 1, 16302, 17919, 1302, 2919
3, 2, 31302, 33404, 1302, 3404
3, 3, 46302, 47919, 1302, 2919
3, 4, 61302, 63642, 1302, 3642
3, 5, 76302, 77919, 1302, 2919
3, 6, 91302, 93404, 1302, 3404
3, 7, 106302, 107919, 1302, 2919
4, 0, 356, 2726, 356, 2726
4, 1, 15356, 17022, 356, 2022
4, 2, 30356, 32410, 356, 2410
4, 3, 45356, 47022, 356, 2022
4, 4, 60356, 62560, 356, 2560
4, 5, 75356, 77022, 356, 2022
4, 6, 90356, 92410, 356, 2410
4, 7, 105356, 107022, 356, 2022
5, 0, 332, 2667, 332, 2667
5, 1, 15332, 16992, 332, 1992
5, 2, 30332, 32384, 332, 2384
5, 3, 45332, 46992, 332, 1992
5, 4, 60332, 62455, 332, 2455
5, 5, 75332, 76992, 332, 1992
5, 6, 90332, 92384, 332, 2384
5, 7, 105332, 106992, 332, 1992
6, 0, 48, 2524, 48, 2524
6, 1, 20048, 21079, 48, 1079
6, 2, 40048, 41079, 48, 1079
6, 3, 60048, 62390, 48, 2390
6, 4, 80048, 81079, 48, 1079
6, 5, 100048, 101079, 48, 1079
7, 0, 83, 2563, 83, 2563
7, 1, 20083, 21157, 83, 1157
7, 2, 40083, 41164, 83, 1164
7, 3, 60083, 62430, 83, 2430
7, 4, 80083, 81164, 83, 1164
7, 5, 100083, 101157, 83, 1157
8, 0, 1976, 5829, 1976, 5829
8, 1, 31976, 35246, 1976, 5246
8, 2, 61976, 65318, 1976, 5318
8, 3, 91976, 95246, 1976, 5246
9, 0, 241, 3952, 241, 3952
9, 1, 40241, 42401, 241, 2401
9, 2, 80241, 82401, 241, 2401
